"id","condition","topic.symbolic","mcheck1","mcheck2","Q23_1","anger1","Q23_2","Q23_3","Q23_4","Q23_5","Q23_6","Q23_7","Q23_8","Q23_9","Q23_10","Q23_11","Q23_12","Q23_13","contempt1","disgust1","anger4","anger2","contempt2","disgust2","contempt4","attention.check","anger3","contempt3","disgust3","disgust4","voodoo1","voodoo2","voodoo3","voodoo4","voodoo5","voodoo6","voodoo7","voodoo8","voodoo9","voodoo10","voodoo1 - 0 & 1","voodoo2 - 0 & 1","voodoo3 - 0 & 1","voodoo4 - 0 & 1","voodoo5 - 0 & 1","voodoo6 - 0 & 1","voodoo7 - 0 & 1","voodoo8 - 0 & 1","voodoo9 - 0 & 1","voodoo10 - 0 & 1","tangram.check","tangram.videocheck","tangram.easy.1 (3)","tangram.easy.2","tangram.easy.3","tangram.easy.4","tangram.easy.5","tangram.easy.6","tangram.easy.7","tangram.easy.8","tangram.easy.9","tangram.easy.10","tanrgam.medium.1","tanrgam.medium.2","tanrgam.medium.3","tanrgam.medium.4","tanrgam.medium.5","tanrgam.medium.6","tanrgam.medium.7","tanrgam.medium.8","tanrgam.medium.9","tanrgam.medium.10","tanrgam.hard.1","tanrgam.hard.2","tanrgam.hard.3","tanrgam.hard.4","tanrgam.hard.5","tanrgam.hard.6","tanrgam.hard.7","tanrgam.hard.8","tanrgam.hard.9","tanrgam.hard.10","tangram.easy.1 (3) - 0 & 1","tangram.easy.2 - 0 & 1","tangram.easy.3 - 0 & 1","tangram.easy.4 - 0 & 1","tangram.easy.5 - 0 & 1","tangram.easy.6 - 0 & 1","tangram.easy.7 - 0 & 1","tangram.easy.8 - 0 & 1","tangram.easy.9 - 0 & 1","tangram.easy.10 - 0 & 1","tanrgam.medium.1 - 0 & 1","tanrgam.medium.2 - 0 & 1","tanrgam.medium.3 - 0 & 1","tanrgam.medium.4 - 0 & 1","tanrgam.medium.5 - 0 & 1","tanrgam.medium.6 - 0 & 1","tanrgam.medium.7 - 0 & 1","tanrgam.medium.8 - 0 & 1","tanrgam.medium.9 - 0 & 1","tanrgam.medium.10 - 0 & 1","tanrgam.hard.1 - 0 & 1","tanrgam.hard.2 - 0 & 1","tanrgam.hard.3 - 0 & 1","tanrgam.hard.4 - 0 & 1","tanrgam.hard.5 - 0 & 1","tanrgam.hard.6 - 0 & 1","tanrgam.hard.7 - 0 & 1","tanrgam.hard.8 - 0 & 1","tanrgam.hard.9 - 0 & 1","tanrgam.hard.10 - 0 & 1","topic.realistic","topic.control","sex","age","education","ocupation","religiosity","political.orientation","political.orientation.prog","political.orientation.econ","political.orientation.soc","political.orientation.safe","truthfulness"
257,"control",,1,1,24,1,24,24,28,24,24,24,28,24,24,24,24,28,1,1,7,1,1,1,7,1,1,1,1,7,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,3,2,45.0,5,2,-1.0,0.0,0.0,0.0,0.0,0.0,5
258,"realistic",,4,4,26,4,26,26,26,26,26,26,25,24,26,26,26,26,4,4,4,4,4,4,3,1,4,4,4,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,1,22.0,3,2,0.25,-0.3,-0.32,-0.28,-0.39,-0.26,5
259,"realistic",,5,5,29,2,25,29,25,29,24,27,25,24,25,25,29,26,3,2,3,2,1,5,3,1,3,3,2,4,208.0,223.0,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,1,,,,,1,1,,,1,,1,1,1,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,,2,23.0,3,1,-0.86,-0.52,-0.67,-0.54,0.19,-0.6,5
260,"symbolic",3,7,7,24,1,30,28,24,24,28,28,24,24,24,28,28,24,6,7,1,1,7,7,1,1,1,7,7,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,,1,44.0,4,4,-1.0,-0.5,-0.82,-0.63,-0.89,-0.84,5
261,"symbolic",3,4,1,29,2,27,30,26,24,30,30,29,24,24,30,30,29,5,6,4,1,6,6,2,1,1,6,6,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,1,1,1,1,,,,,,1,1,1,1,1,,,1,1,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,,,1,34.0,4,1,0.54,-0.6,-0.45,-0.29,-0.53,-0.61,5
262,"symbolic",3,6,7,25,3,26,30,29,29,27,27,29,24,24,25,26,29,4,6,2,2,5,5,2,1,1,3,4,2,144.0,231.0,52.0,164.0,167.0,107.0,,,,,1,1,1,1,1,1,0,0,0,0,1,1,,,,1,1,,,,,,,,1,1,,1,,1,1,,1,,,1,,,1,1,,,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,,,2,25.0,5,7,-1.0,-0.88,-0.94,-0.88,-0.82,-0.87,5
263,"symbolic",2,3,4,24,1,26,26,25,24,29,26,26,24,29,27,26,25,4,4,3,1,2,4,4,1,2,5,4,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,1,,,,1,1,,,,1,1,1,1,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,,,1,21.0,3,10,-1.0,-0.84,-0.68,-1.0,-0.73,-0.98,5
264,"symbolic",3,5,7,27,5,30,30,24,24,30,30,24,24,26,27,30,29,6,6,1,1,6,6,1,1,4,5,6,2,138.0,159.0,140.0,179.0,125.0,,,,,,1,1,1,1,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,1,,,,1,,1,,,1,,1,1,1,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,,,2,29.0,5,1,0.59,-0.56,-0.63,-0.25,-1.0,-0.63,5
265,"control",,4,5,27,5,26,27,26,26,27,30,25,24,25,29,26,29,4,5,4,4,5,6,3,1,3,2,4,2,126.0,227.0,62.0,178.0,171.0,111.0,,,,,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,,,1,,,1,,1,1,,1,,,,,,1,,,,,,,,,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,,1,1,35.0,5,1,1.0,0.58,0.54,0.69,0.66,1.0,5
266,"control",,1,2,24,1,29,29,30,24,24,24,30,24,24,29,24,30,2,2,6,1,1,1,6,1,1,2,1,6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2,2,40.0,5,1,0.7,0.26,0.13,0.84,-0.59,0.38,5
