"id","condition","topic.symbolic","mcheck1","mcheck2","Q23_1","anger1","Q23_2","Q23_3","Q23_4","Q23_5","Q23_6","Q23_7","Q23_8","Q23_9","Q23_10","Q23_11","Q23_12","Q23_13","contempt1","disgust1","anger4","anger2","contempt2","disgust2","contempt4","attention.check","anger3","contempt3","disgust3","disgust4","voodoo1","voodoo2","voodoo3","voodoo4","voodoo5","voodoo6","voodoo7","voodoo8","voodoo9","voodoo10","voodoo1 - 0 & 1","voodoo2 - 0 & 1","voodoo3 - 0 & 1","voodoo4 - 0 & 1","voodoo5 - 0 & 1","voodoo6 - 0 & 1","voodoo7 - 0 & 1","voodoo8 - 0 & 1","voodoo9 - 0 & 1","voodoo10 - 0 & 1","tangram.check","tangram.videocheck","tangram.easy.1 (3)","tangram.easy.2","tangram.easy.3","tangram.easy.4","tangram.easy.5","tangram.easy.6","tangram.easy.7","tangram.easy.8","tangram.easy.9","tangram.easy.10","tanrgam.medium.1","tanrgam.medium.2","tanrgam.medium.3","tanrgam.medium.4","tanrgam.medium.5","tanrgam.medium.6","tanrgam.medium.7","tanrgam.medium.8","tanrgam.medium.9","tanrgam.medium.10","tanrgam.hard.1","tanrgam.hard.2","tanrgam.hard.3","tanrgam.hard.4","tanrgam.hard.5","tanrgam.hard.6","tanrgam.hard.7","tanrgam.hard.8","tanrgam.hard.9","tanrgam.hard.10","tangram.easy.1 (3) - 0 & 1","tangram.easy.2 - 0 & 1","tangram.easy.3 - 0 & 1","tangram.easy.4 - 0 & 1","tangram.easy.5 - 0 & 1","tangram.easy.6 - 0 & 1","tangram.easy.7 - 0 & 1","tangram.easy.8 - 0 & 1","tangram.easy.9 - 0 & 1","tangram.easy.10 - 0 & 1","tanrgam.medium.1 - 0 & 1","tanrgam.medium.2 - 0 & 1","tanrgam.medium.3 - 0 & 1","tanrgam.medium.4 - 0 & 1","tanrgam.medium.5 - 0 & 1","tanrgam.medium.6 - 0 & 1","tanrgam.medium.7 - 0 & 1","tanrgam.medium.8 - 0 & 1","tanrgam.medium.9 - 0 & 1","tanrgam.medium.10 - 0 & 1","tanrgam.hard.1 - 0 & 1","tanrgam.hard.2 - 0 & 1","tanrgam.hard.3 - 0 & 1","tanrgam.hard.4 - 0 & 1","tanrgam.hard.5 - 0 & 1","tanrgam.hard.6 - 0 & 1","tanrgam.hard.7 - 0 & 1","tanrgam.hard.8 - 0 & 1","tanrgam.hard.9 - 0 & 1","tanrgam.hard.10 - 0 & 1","topic.realistic","topic.control","sex","age","education","ocupation","religiosity","political.orientation","political.orientation.prog","political.orientation.econ","political.orientation.soc","political.orientation.safe","truthfulness"
318,"realistic",,1,1,24,1,24,26,26,24,24,24,26,24,24,24,24,27,1,4,4,1,1,1,4,1,1,1,1,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,,,1,,,,1,1,,1,1,1,,,,1,,,1,,,,,,,,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,,2,26.0,4,10,-0.1,-1.0,-1.0,-1.0,-1.0,-1.0,5
319,"realistic",,2,1,24,1,24,24,30,24,24,24,27,24,24,24,24,27,1,1,6,1,1,1,5,1,1,1,1,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,1,1,,,,,1,,1,1,1,1,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,,2,18.0,3,10,1.0,-0.19,0.29,-0.31,0.24,0.52,5
320,"symbolic",1,4,6,29,2,26,27,26,29,29,29,26,24,29,25,29,24,4,5,4,2,2,2,4,1,2,3,2,1,142.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,20.0,2,10,0.25,-0.55,-0.03,0.92,0.42,-0.49,5
321,"control",,1,1,29,2,29,29,30,24,29,29,28,24,29,29,29,28,2,2,6,1,2,2,7,1,2,2,2,7,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,,,1,,1,,,,,,1,,,,,1,,,1,1,,1,,1,,,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,,1,1,37.0,5,1,0.2,1.0,0.33,0.59,0.76,0.69,5
322,"realistic",,3,4,24,1,24,24,27,24,24,29,26,24,24,29,24,26,1,1,5,1,1,2,4,1,1,2,1,4,171.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,2,41.0,5,11,0.14,-0.56,-0.47,0.34,-0.49,-0.66,5
323,"realistic",,5,3,29,2,25,25,29,25,29,29,29,24,29,25,29,29,3,3,2,3,2,2,2,1,2,3,2,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,1,1,,1,,,1,,,1,1,,1,,,,,1,1,,,,,,1,1,,,,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,3,,2,30.0,5,1,0.25,-0.53,-0.25,0.36,-0.22,0.27,5
324,"control",,1,1,24,1,24,24,28,24,24,24,26,24,24,24,24,27,1,1,7,1,1,1,4,1,1,1,1,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,46.0,3,2,0.82,-0.01,0.0,0.21,-0.2,-0.4,5
325,"realistic",,2,2,30,6,24,29,27,24,24,24,27,24,24,24,24,27,1,2,5,1,1,1,5,1,1,1,1,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,,,,1,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,29.0,4,11,-0.16,-0.86,-0.82,-0.97,-0.95,-1.0,5
326,"symbolic",2,3,3,29,2,24,25,27,24,29,26,26,24,29,29,29,26,1,3,5,1,2,4,4,1,2,2,2,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,21.0,3,10,-1.0,0.0,0.0,0.0,0.0,0.0,5
327,"symbolic",3,7,7,29,2,24,30,24,27,30,28,24,24,30,30,30,24,1,6,1,5,6,7,1,1,6,6,6,1,170.0,171.0,143.0,,,,,,,,1,1,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,1,19.0,3,10,0.25,-0.71,-0.77,-0.64,-0.89,-0.55,5
328,"control",,1,1,24,1,24,24,30,29,29,24,30,24,24,24,24,27,1,1,6,2,2,1,6,1,1,1,1,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,61.0,3,1,-0.59,-0.8,-1.0,-1.0,-0.98,-0.97,5
329,"symbolic",2,1,1,24,1,24,24,30,24,24,24,26,24,24,24,24,25,1,1,6,1,1,1,4,1,1,1,1,3,264.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,,1,1,1,1,,1,1,1,,,1,,,1,,1,1,,,,,,,,,,,,,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1,39.0,5,1,0.67,0.21,0.68,0.99,0.16,-0.05,5
330,"symbolic",3,1,7,30,6,25,29,26,24,29,25,26,24,24,27,25,29,3,2,4,1,2,3,4,1,1,5,3,2,138.0,156.0,140.0,139.0,114.0,,,,,,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,46.0,4,1,1.0,1.0,1.0,1.0,1.0,0.79,5
331,"control",,1,1,24,1,24,24,30,24,24,24,30,24,24,24,24,30,1,1,6,1,1,1,6,1,1,1,1,6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,3,2,26.0,4,1,-0.03,0.05,0.14,0.13,0.05,0.0,5
332,"control",,1,1,24,1,24,24,27,24,24,24,30,24,24,29,24,25,1,1,5,1,1,1,6,1,1,2,1,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,20.0,3,10,-1.0,-0.13,-0.09,0.06,-0.09,0.1,5
333,"realistic",,1,1,24,1,24,24,30,24,24,24,30,24,24,24,24,27,1,1,6,1,1,1,6,1,1,1,1,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,2,48.0,3,1,0.86,0.84,0.86,-0.24,0.46,0.51,5
334,"realistic",,6,4,29,2,26,27,25,29,27,27,25,24,29,27,27,25,4,5,3,2,5,5,3,1,2,5,5,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,1,29.0,3,4,0.34,0.49,0.65,0.63,0.63,0.75,5
335,"control",,1,1,24,1,24,24,26,24,24,24,26,24,24,24,24,26,1,1,4,1,1,1,4,1,1,1,1,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,25.0,4,1,0.51,-1.0,-1.0,-1.0,-1.0,-1.0,5
336,"control",,1,1,26,4,26,26,26,26,26,26,26,24,26,26,26,26,4,4,4,4,4,4,4,1,4,4,4,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,,,1,,,1,,,1,,1,,,1,,,1,,1,,,1,,,1,,,1,,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,,1,2,59.0,4,1,1.0,-0.96,-0.49,-1.0,-1.0,-0.92,5
337,"symbolic",2,5,5,29,2,29,29,30,29,24,25,27,24,29,29,29,25,2,2,6,2,1,3,5,1,2,2,2,3,230.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,1,1,,,1,,,,,,,1,1,1,,,,1,1,,,,,,,,1,,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,,,1,25.0,2,1,-0.4,-0.3,-0.3,0.1,-0.2,-0.5,5
338,"control",,2,2,24,1,24,29,30,24,24,29,27,24,29,29,24,27,1,2,6,1,1,2,5,1,2,2,1,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,2,41.0,5,1,-1.0,-0.72,-0.36,-0.44,-0.74,-0.17,5
339,"control",,1,1,24,1,24,24,30,24,24,24,30,24,24,24,24,28,1,1,6,1,1,1,6,1,1,1,1,7,231.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,,1,1,,,,1,,,1,1,,,,,,,,,,,,,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,19.0,3,10,-0.6,-0.4,-0.88,-0.62,-0.84,-0.71,5
340,"control",,1,1,24,1,24,24,28,24,24,24,28,29,24,24,24,26,1,1,7,1,1,1,7,2,1,1,1,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,,,,1,1,1,1,,,,,,,1,,1,1,,,,,,,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,,1,2,57.0,3,7,0.43,0.51,0.43,0.18,0.49,0.51,5
341,"symbolic",1,3,4,24,1,24,24,27,24,25,27,27,24,24,25,25,30,1,1,5,1,3,5,5,1,1,3,3,6,125.0,147.0,157.0,158.0,142.0,125.0,136.0,121.0,135.0,151.0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,2,43.0,4,1,0.93,-0.76,-0.92,-0.81,-0.93,-0.91,5
342,"realistic",,6,1,29,2,26,26,29,24,26,28,28,24,24,30,27,26,4,4,2,1,4,7,7,1,1,6,5,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,3,,1,54.0,4,4,-1.0,-1.0,-0.85,-1.0,-1.0,-1.0,5
343,"symbolic",1,1,1,29,2,24,24,26,24,24,24,26,24,24,29,29,25,1,1,4,1,1,1,4,1,1,2,2,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,26.0,4,2,-1.0,-0.77,-0.55,-0.93,-0.98,-0.95,5
344,"control",,1,1,24,1,24,24,28,24,24,24,30,24,24,24,24,27,1,1,7,1,1,1,6,1,1,1,1,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,29.0,2,4,-0.19,-1.0,-1.0,-1.0,-1.0,-1.0,5
345,"control",,1,1,24,1,24,24,26,24,24,24,26,24,24,24,24,26,1,1,4,1,1,1,4,1,1,1,1,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2,48.0,4,1,0.85,0.8,0.97,1.0,0.9,0.89,5
346,"symbolic",2,3,3,25,3,29,25,25,29,29,25,25,24,29,27,29,29,2,3,3,2,2,3,3,1,2,5,2,2,132.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,53.0,5,2,-0.93,-0.9,-0.88,-0.7,-0.91,-0.9,5
347,"realistic",,7,1,29,2,29,30,29,24,29,27,24,24,27,27,27,24,2,6,2,1,2,5,1,1,5,5,5,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,2,32.0,4,1,0.71,-1.0,-0.98,-1.0,-1.0,-1.0,5
348,"realistic",,6,2,25,3,29,29,27,29,24,29,27,24,29,29,29,27,2,2,5,2,1,2,5,1,2,2,2,5,226.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,1,1,1,1,,1,,,1,1,,1,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,,1,26.0,3,4,-0.8,-0.55,-0.7,-0.71,-0.7,-0.85,5
349,"realistic",,3,2,29,2,29,29,27,24,29,29,27,24,29,29,29,27,2,2,5,1,2,2,5,1,2,2,2,5,164.0,116.0,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,,1,26.0,5,1,-0.54,-0.13,-0.54,0.32,-0.8,0.23,5
350,"realistic",,3,1,24,1,24,24,30,24,24,24,30,24,24,24,24,30,1,1,6,1,1,1,6,1,1,1,1,6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,1,,,1,1,,,1,1,,,1,,,1,1,,,,1,,,1,1,,,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,,3,29.0,3,2,-1.0,-0.14,-0.86,-0.68,-0.4,-0.38,5
351,"realistic",,4,4,25,3,27,27,27,29,25,25,27,24,25,25,25,29,5,5,5,2,3,3,5,1,3,3,3,2,173.0,228.0,60.0,109.0,,,,,,,1,1,1,1,0,0,0,0,0,0,1,1,1,,,1,1,,,1,,,,1,1,,,1,1,,1,1,,,,,,,,,1,,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,,1,36.0,4,1,0.18,0.26,0.17,0.5,-0.44,-0.58,5
352,"realistic",,4,3,24,1,29,27,25,29,29,29,27,24,29,25,29,29,2,5,3,2,2,2,5,1,2,3,2,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,1,60.0,3,1,-1.0,-0.08,-0.35,0.21,-0.33,-0.21,5
353,"control",,1,1,24,1,24,24,27,24,24,24,26,24,24,24,24,26,1,1,5,1,1,1,4,1,1,1,1,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2,2,38.0,3,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5
354,"symbolic",3,2,7,29,2,27,27,29,24,30,26,29,24,24,26,27,24,5,5,2,1,6,4,2,1,1,4,5,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,1,,,,1,,,1,,1,1,,,1,,1,1,,,1,,,,,,,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,,,1,46.0,4,1,-1.0,-0.72,-0.84,-0.61,-0.76,-0.75,5
355,"realistic",,5,1,24,1,24,24,30,24,24,24,27,24,24,24,24,27,1,1,6,1,1,1,5,1,1,1,1,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,58.0,4,1,1.0,1.0,1.0,0.75,1.0,1.0,5
356,"symbolic",1,7,7,24,1,26,28,26,24,24,28,24,24,24,24,30,24,4,7,4,1,1,7,1,1,1,1,6,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,1,,1,,1,,1,,,,1,,1,,1,,1,,,,1,,1,,1,,,,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,,,2,43.0,4,2,-1.0,0.31,0.0,0.57,0.3,0.69,5
357,"control",,1,2,26,4,24,29,28,24,29,24,28,24,29,29,24,30,1,2,7,1,2,1,7,1,2,2,1,6,168.0,176.0,126.0,118.0,235.0,144.0,135.0,53.0,182.0,118.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,,1,1,,1,1,,,,,,1,,,,,,,,,,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2,2,25.0,4,11,0.7,-0.78,-0.85,-0.92,-0.74,-0.91,5
358,"symbolic",3,2,2,26,4,26,29,26,24,29,29,26,24,24,26,29,25,4,2,4,1,2,2,4,1,1,4,2,3,141.0,145.0,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,29.0,3,1,-0.44,0.0,0.0,0.39,-0.41,-0.36,5
359,"symbolic",2,4,7,24,1,27,30,29,29,27,27,29,24,29,30,27,29,5,6,2,2,5,5,2,1,2,6,5,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1,,,,,,,1,1,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,,,1,37.0,5,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5
360,"realistic",,6,5,25,3,29,24,29,26,27,27,25,24,29,24,29,30,2,1,2,4,5,5,3,1,2,1,2,6,96.0,111.0,125.0,169.0,139.0,,,,,,1,1,1,1,1,0,0,0,0,0,1,1,,1,,1,1,,,1,,,,,1,,1,,1,,,1,,1,,1,,,,,1,,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,2,,1,31.0,5,1,0.43,0.51,-0.7,-0.47,0.2,0.41,5
361,"symbolic",3,5,7,26,4,27,30,29,24,26,30,24,24,26,30,30,24,5,6,2,1,4,6,1,1,4,6,6,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,2,40.0,4,1,0.0,-0.52,-1.0,-1.0,-1.0,-1.0,5
362,"realistic",,5,1,24,1,24,24,29,24,29,24,24,24,24,25,24,26,1,1,2,1,2,1,1,1,1,3,1,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,1,1,1,1,,1,1,,1,1,,,,,1,,,1,,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,3,,2,36.0,4,10,-0.55,-1.0,-0.56,-1.0,0.27,-0.45,5
363,"symbolic",1,6,5,24,1,29,26,26,24,26,26,26,24,24,26,26,26,2,4,4,1,4,4,4,1,1,4,4,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,,1,1,,1,,,1,,,1,1,,1,1,,,,,,,,1,,,,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,,,1,56.0,4,4,-1.0,-0.32,-0.3,0.0,-0.41,-0.33,5
364,"realistic",,2,2,28,7,24,24,30,24,24,26,27,24,24,29,24,26,1,1,6,1,1,4,5,1,1,2,1,4,281.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,,2,36.0,3,1,-0.57,-0.64,-0.89,-0.8,-0.93,-0.93,5
365,"control",,2,1,24,1,24,24,27,24,24,24,30,24,24,24,24,30,1,1,5,1,1,1,6,1,1,1,1,6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,30.0,4,2,-1.0,-0.62,-1.0,0.32,-0.23,-1.0,5
366,"realistic",,5,4,25,3,29,25,25,24,25,25,26,24,29,25,24,27,2,3,3,1,3,3,4,1,2,3,1,5,113.0,166.0,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,,1,1,,,,,,,,1,1,1,1,,,,,,,,,1,1,,1,,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,3,,2,22.0,3,10,0.7,-0.65,-0.4,-0.1,-0.7,-0.85,5
367,"realistic",,5,2,29,2,26,25,25,24,29,25,25,24,29,26,29,26,4,3,3,1,2,3,3,1,2,4,2,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,,1,,1,1,,1,1,,1,1,,,1,1,,,,,,,,,,,,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,2,31.0,4,4,0.05,-1.0,-1.0,-1.0,-1.0,-1.0,5
368,"symbolic",2,4,5,25,3,27,25,29,24,24,27,25,24,24,27,27,29,5,3,2,1,1,5,3,1,1,5,5,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,1,,,1,1,,,,,1,1,,1,,,,1,,,1,,,1,1,,1,,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,,,2,20.0,3,1,0.96,-1.0,-1.0,-1.0,-1.0,-1.0,5
